created_at,text,username,location
2025-05-20 10:00:50,UNN’s new ICT hub is amazing. Fast internet and cool vibe. #UNNpraise,unn_dev,Nsukka
2025-05-20 15:45:22,OAU’s hostels are overcrowded. No privacy at all. #OAUstruggles,oau_girl03,Ifé
2025-05-21 08:30:33,Babcock’s medical centre is always stocked and open. Saved me twice! #BabcockWins,babcock_student,Ogun
2025-05-21 14:50:44,LASU’s library has no e-learning access. So outdated! #LASUwoes,lasu_reader,Lagos
2025-05-22 09:15:21,FUTO’s new lecture halls are spacious and cool. Love studying here! #FUTOpraise,futo_scholar,Owerri
2025-05-22 16:20:30,UNIBEN’s transportation is a mess. Missed a class waiting for a bus. #UNIBENprobs,uniben_engineer,Benin City
2025-05-23 10:05:12,Covenant’s social hubs are perfect for networking. Always lively! #CovenantVibes,covenant_networker,Ota
2025-05-23 15:30:50,UNILORIN’s labs are barely functional. Equipment from the 90s! #UNILORINrants,unilorin_sciencenerd,Ilorin
2025-05-24 08:45:22,AUL’s cafeteria is a bit pricey but the food is worth it. #AULife,aul_foodie,Urban
2025-05-24 14:10:33,UI’s Wi-Fi is so slow. Can’t even download lecture notes. #UIstruggles,ui_coder,Ibadan
2025-05-25 09:25:44,"UNN’s new hostels are a dream. Clean, modern, and comfy! #UNNpraise",unn_freshie,Nsukka
2025-05-25 16:30:12,OAU’s medical centre is understaffed. Waited hours for a check-up. #OAUissues,oau_student04,Ifé
